interwencja;p.stresu;plec;mniejszosc;studia;partner;zamieszkanie;praca;alkohol;wiek
1;14;0;0;0;0;2;1;1;39
0;12;1;0;1;1;0;1;0;59
0;15;1;0;0;1;0;1;1;79
0;14;1;0;1;1;0;1;0;38
0;19;1;0;1;1;0;0;0;42
1;18;1;0;1;0;0;1;0;71
0;9;1;0;0;1;1;1;1;36
0;14;0;0;1;0;0;1;0;56
0;32;1;0;0;0;0;1;1;61
0;10;1;0;1;1;0;1;0;67
0;13;1;0;1;1;2;1;1;66
0;13;0;0;0;0;0;1;0;70
0;13;0;0;1;0;0;1;0;57
0;18;0;0;0;1;2;1;0;60
0;10;0;0;1;0;0;1;0;79
1;32;0;0;1;0;0;1;1;45
0;10;0;0;0;1;0;1;1;60
0;11;1;0;1;1;0;0;1;54
1;14;1;0;0;0;2;1;0;50
1;10;0;0;0;1;2;1;1;61
1;11;0;0;0;0;1;1;0;65
0;11;1;0;1;1;0;1;1;46
0;12;0;0;0;0;0;1;1;77
0;12;0;0;0;1;0;1;1;58
1;11;1;1;0;1;2;1;1;35
0;17;0;0;0;1;2;1;1;61
0;10;1;0;1;0;0;1;0;34
1;10;0;0;1;0;2;1;1;37
0;16;0;0;1;0;0;1;1;58
0;28;0;0;0;0;0;1;1;63
0;10;1;0;0;1;0;1;0;79
0;13;1;0;0;1;0;1;1;66
0;11;1;0;1;1;0;1;0;46
1;27;1;0;1;1;0;1;1;32
0;19;1;0;1;0;0;1;1;66
0;10;0;0;1;1;0;1;1;39
0;19;0;0;1;1;2;1;0;56
1;14;1;0;0;1;2;1;1;54
0;17;0;0;1;1;0;1;1;49
0;11;0;0;0;1;0;1;0;63
0;26;1;0;0;1;1;1;1;76
1;11;1;0;0;1;0;1;0;66
1;11;1;0;1;0;0;1;1;58
1;27;0;0;1;1;1;1;0;41
0;18;0;0;0;0;0;1;1;65
0;14;0;0;0;1;0;0;0;30
0;10;0;0;1;1;0;1;1;47
0;26;0;0;0;0;0;1;0;47
0;10;1;0;1;1;1;1;0;69
0;17;1;0;1;0;0;1;1;43
1;22;1;0;0;1;1;1;1;43
1;23;0;0;0;0;0;1;0;52
0;14;1;0;1;1;0;1;0;58
0;22;1;0;0;1;1;1;1;65
0;15;1;0;1;1;0;1;1;35
0;10;0;0;1;0;1;1;0;71
1;12;1;0;1;0;0;1;1;48
0;12;0;0;1;0;0;1;1;53
0;18;0;0;1;0;0;1;0;60
0;14;1;0;0;1;0;1;1;37
0;10;0;0;1;1;0;0;0;47
0;11;1;0;0;1;0;1;0;64
1;16;1;0;1;0;0;1;0;61
0;18;0;0;1;1;0;1;0;59
0;10;0;0;1;1;0;1;1;43
0;10;1;0;0;1;2;1;0;72
0;10;0;0;1;0;0;1;0;35
0;12;0;0;1;1;0;1;1;78
1;18;1;0;1;0;0;1;0;31
0;15;1;0;1;1;0;0;0;75
0;12;0;0;1;1;0;1;1;30
0;10;1;0;1;1;0;1;1;46
0;14;1;0;1;1;0;1;0;58
0;10;1;0;0;1;0;1;1;30
0;11;0;0;1;1;0;1;0;67
0;11;0;0;1;1;0;0;0;54
1;11;1;0;0;0;0;1;1;60
1;13;0;0;1;1;0;1;1;58
1;17;1;0;1;1;0;1;1;49
0;13;1;0;0;1;1;1;1;72
0;18;1;0;1;1;0;0;1;30
0;14;0;0;0;0;0;1;0;68
0;25;0;1;0;0;0;1;1;71
0;17;0;0;1;1;0;1;1;58
1;15;0;0;1;1;0;1;1;55
0;11;1;0;0;1;0;1;1;69
0;10;0;0;1;0;0;1;0;40
0;10;0;0;0;0;0;1;0;79
0;8;0;0;1;0;1;1;0;65
0;11;1;0;0;1;0;1;1;53
1;27;0;0;1;0;0;1;1;37
0;34;1;0;0;0;1;1;0;60
0;15;0;0;0;0;1;1;0;60
0;10;1;0;1;1;0;1;1;68
0;12;0;0;0;1;0;1;1;72
0;14;0;0;1;1;0;1;0;46
0;9;1;0;1;1;0;1;0;40
0;11;0;0;1;0;0;1;0;49
0;41;1;0;0;0;0;1;1;67
0;10;1;0;1;1;0;1;1;64
0;10;1;0;1;1;2;1;0;37
1;15;1;0;0;1;0;1;1;44
0;13;0;0;1;0;0;1;1;68
0;10;0;0;1;1;0;1;1;58
0;16;0;0;0;0;1;1;0;72
0;17;0;0;1;1;0;1;1;36
0;25;1;0;0;0;0;1;0;67
1;12;1;0;0;0;2;1;1;68
0;12;0;0;0;1;2;1;1;69
0;19;1;0;0;1;0;1;0;62
0;21;0;0;0;1;0;1;0;38
0;15;0;0;0;1;0;1;1;73
0;11;0;0;0;1;1;1;0;70
1;11;1;0;0;1;1;1;1;56
1;35;0;0;0;0;0;1;1;33
0;21;0;0;0;0;0;1;0;56
0;11;1;0;1;1;0;1;0;54
0;9;1;0;0;0;2;1;0;57
0;10;0;0;1;1;0;1;0;36
1;11;0;0;0;0;0;1;1;50
0;10;0;0;1;1;0;0;0;35
0;14;0;0;1;1;2;1;1;49
0;10;1;1;1;1;1;1;1;54
0;10;1;0;1;1;0;1;1;65
1;18;1;0;0;1;2;1;1;78
0;11;0;0;0;0;1;1;0;40
0;19;0;0;1;1;0;1;0;38
0;10;1;0;0;1;0;1;0;69
1;10;0;0;0;0;0;1;0;76
0;12;0;0;1;1;2;1;1;59
1;29;0;0;1;0;1;1;1;58
0;20;1;0;0;1;0;1;1;51
0;19;0;0;1;1;0;0;0;49
0;17;0;0;0;0;0;1;0;41
0;12;0;0;0;0;2;1;1;58
1;10;1;0;0;0;1;1;1;69
0;12;1;0;0;1;2;1;0;39
0;38;0;0;1;0;0;1;0;36
0;13;0;0;1;1;0;1;1;49
1;14;0;0;0;1;0;1;1;58
0;21;1;0;1;0;2;1;0;42
0;15;1;0;1;1;1;1;1;37
0;18;0;0;0;1;2;1;1;35
0;17;1;0;0;1;1;1;1;32
0;14;0;0;1;1;1;1;1;66
0;10;0;0;1;1;0;1;0;79
0;17;1;0;1;0;0;1;1;51
0;15;1;0;0;0;0;1;1;37
0;19;0;0;1;1;0;1;0;38
0;11;0;0;1;1;0;1;0;36
0;12;0;0;1;0;0;1;1;41
0;10;0;0;0;1;2;1;0;68
0;12;0;0;0;0;0;1;1;64
0;19;0;0;0;1;0;1;1;66
1;18;1;0;1;0;2;1;1;36
0;8;1;0;0;1;0;1;0;49
0;13;1;0;1;1;0;1;0;60
0;38;0;0;0;0;0;1;0;34
0;13;0;0;0;1;0;0;0;65
0;10;1;0;1;1;0;1;0;79
0;8;0;0;0;0;2;1;0;37
0;14;0;0;1;1;2;1;1;63
0;14;0;0;1;1;2;1;1;33
0;13;0;0;1;1;2;0;1;40
0;11;0;0;1;1;0;1;0;34
0;15;1;0;1;1;0;0;1;46
0;11;0;0;0;0;2;1;1;72
0;21;1;0;1;0;2;1;1;38
0;13;0;0;0;0;1;1;1;72
0;13;1;0;1;1;0;1;1;31
0;10;0;0;1;0;0;1;1;78
0;19;0;0;1;0;1;1;0;36
0;11;1;0;1;1;1;1;0;75
0;20;1;0;1;0;0;1;1;51
0;17;1;0;0;0;2;1;1;78
0;13;0;0;1;1;0;1;1;43
0;28;0;0;1;0;0;1;1;42
0;12;0;0;1;1;0;0;0;66
0;15;0;0;1;1;1;1;0;70
0;11;0;0;0;0;1;1;0;71
1;11;0;0;0;1;0;1;0;44
0;14;0;0;1;0;0;1;1;64
0;8;1;0;0;1;0;1;1;65
0;15;1;0;0;0;0;1;0;60
0;17;1;0;1;1;0;1;1;38
0;16;0;0;1;1;0;1;0;52
0;8;1;0;0;1;2;1;1;50
1;31;0;0;0;0;2;1;0;48
1;13;1;0;1;0;0;1;0;38
0;19;0;0;1;1;2;1;1;31
1;10;1;0;0;0;0;1;1;58
1;24;0;0;1;0;0;1;1;61
0;13;0;0;1;1;0;1;0;59
0;14;0;0;1;0;0;1;1;68
0;12;0;0;1;1;0;1;1;46
0;10;1;0;1;1;0;1;1;40
0;11;1;0;0;1;0;1;0;36
0;10;1;0;0;0;0;1;1;42
0;14;0;0;1;1;1;1;0;40
1;16;0;0;1;0;0;1;0;73
0;13;1;0;1;1;0;1;1;31
0;24;1;0;1;1;0;1;0;34
0;19;1;0;1;0;0;1;1;31
0;12;0;0;1;1;0;1;1;49
0;16;1;0;0;0;2;1;1;70
1;18;0;0;1;1;1;1;0;37
0;10;0;0;0;1;0;1;1;56
0;19;1;0;1;0;1;1;1;56
1;22;1;0;1;1;1;0;0;36
0;14;1;0;0;1;0;1;1;79
0;10;0;0;0;0;2;1;1;75
0;10;0;0;1;1;0;1;0;36
0;12;0;0;0;0;0;1;1;72
0;13;1;0;1;1;0;1;1;44
0;26;0;0;1;0;0;1;1;32
0;10;0;0;0;1;0;0;0;66
0;15;0;0;1;1;0;1;1;41
0;11;0;0;1;1;2;0;0;53
0;11;1;0;1;0;0;1;0;39
0;12;0;0;1;1;0;1;1;59
0;10;1;0;0;1;1;1;1;34
0;10;1;0;1;0;0;1;1;78
0;14;0;0;1;1;0;1;0;74
0;11;0;0;1;0;1;1;0;46
0;10;0;0;1;0;1;1;1;60
0;13;1;0;0;1;0;1;1;62
0;14;1;0;1;1;0;1;1;47
1;15;0;0;1;0;1;1;0;65
0;16;1;0;1;1;0;1;1;43
0;21;0;0;1;0;1;1;1;37
0;10;0;0;1;1;2;1;1;48
0;12;1;0;1;1;0;1;1;53
0;8;1;0;1;1;0;1;1;75
0;12;0;0;1;1;1;1;1;37
0;13;1;0;0;1;2;1;1;73
0;11;1;0;0;1;2;1;0;73
0;11;0;0;1;1;0;1;1;36
0;13;0;0;1;1;2;1;0;69
0;12;0;0;1;0;1;1;1;62
0;22;0;0;1;0;1;1;0;73
0;15;0;0;1;1;0;1;1;58
0;16;0;0;0;1;0;1;0;79
0;11;0;0;0;0;0;1;0;68
0;13;0;0;1;1;0;1;0;35
0;10;1;0;1;1;0;0;0;44
0;12;0;0;1;1;0;0;1;31
0;16;1;0;1;0;0;1;0;66
1;12;1;0;0;0;2;1;1;62
0;13;0;0;1;1;0;0;0;39
0;15;1;0;1;1;0;1;0;40
0;13;0;0;1;0;0;1;0;45
0;10;0;0;1;0;0;1;1;70
0;13;1;0;0;1;1;1;0;67
0;10;0;0;1;1;0;1;0;53
0;12;1;0;1;1;0;1;1;33
1;10;0;0;1;1;1;1;1;62
0;13;1;0;0;0;0;1;1;58
0;23;1;0;0;0;1;1;1;34
0;12;1;0;1;1;0;1;1;66
0;16;0;0;1;1;0;1;1;34
0;21;1;0;1;0;0;1;1;77
0;11;0;0;1;0;0;1;0;69
0;11;1;0;1;1;0;1;1;55
0;14;1;0;0;1;0;1;1;75
0;10;1;0;0;1;0;1;0;50
0;10;1;0;0;1;0;1;1;59
1;13;1;0;1;0;0;1;1;46
1;11;0;0;1;1;0;1;0;71
0;20;0;0;0;1;0;1;1;49
0;18;0;0;0;1;0;1;0;67
0;18;0;0;1;1;0;1;1;42
1;13;1;0;1;0;0;0;0;30
0;30;1;0;1;1;0;1;1;53
0;20;0;0;1;1;0;1;0;35
0;13;0;0;0;1;0;1;0;66
0;11;0;0;1;0;2;1;1;67
0;14;0;0;0;0;0;1;1;68
1;15;0;0;0;0;1;1;1;56
0;10;1;0;1;0;0;1;1;33
0;11;0;0;1;1;0;1;1;59
0;18;0;0;1;1;1;1;1;51
0;21;0;0;1;0;2;1;1;40
1;21;0;0;0;0;1;1;0;55
0;8;0;0;0;0;2;1;1;69
0;16;0;0;1;1;0;1;1;53
0;9;1;0;1;0;0;1;1;57
0;29;1;0;0;1;0;1;1;34
0;12;1;0;1;1;0;0;0;39
1;14;1;0;0;1;1;1;1;48
0;17;1;0;1;1;2;1;0;67
0;13;1;0;1;1;1;1;1;63
0;10;1;0;1;1;0;1;1;35
0;12;1;0;1;1;0;1;1;74
0;11;1;0;1;1;0;1;1;56
0;13;1;0;1;0;0;0;0;38
0;12;0;0;1;1;0;1;1;57
0;12;1;0;1;1;0;1;1;64
0;20;1;0;1;1;0;1;1;44
0;11;0;0;0;0;1;1;1;57
0;10;0;0;1;0;1;1;1;76
0;12;0;0;1;1;0;1;0;65
0;10;0;0;1;1;0;1;0;32
0;12;1;0;1;1;0;1;1;47
0;10;0;0;1;0;0;1;0;45
0;12;0;0;0;0;0;1;0;66
0;13;1;0;1;1;0;1;0;34
0;11;0;0;1;0;0;1;0;62
0;17;0;0;1;0;0;1;1;69
0;10;1;0;1;1;0;1;1;66
1;24;1;0;0;0;0;1;1;48
0;30;0;0;1;1;1;1;1;34
0;13;1;0;1;0;0;1;0;57
0;13;0;1;0;1;0;1;0;48
0;17;1;0;1;1;1;0;0;46
0;13;0;0;0;0;1;1;1;46
0;12;0;0;0;1;0;1;1;72
0;17;0;0;1;1;2;1;1;55
0;17;1;0;1;1;0;1;1;64
0;17;0;0;1;1;0;1;0;43
0;13;1;0;1;1;0;1;1;33
0;11;0;0;1;1;1;1;1;69
0;11;1;0;1;1;0;0;1;41
0;11;1;0;1;1;0;1;0;64
0;14;1;0;0;0;1;1;0;64
0;10;0;0;0;0;0;1;0;68
0;17;1;0;0;1;2;1;1;34
0;12;1;0;1;1;0;1;1;55
0;13;0;0;1;0;0;1;1;44
1;16;0;0;0;1;1;1;1;45
0;12;1;0;1;1;1;1;1;67
0;15;0;0;1;0;2;1;1;39
0;21;1;0;1;1;0;1;0;32
1;15;1;0;0;0;2;1;1;69
0;19;0;0;0;0;2;1;0;55
0;17;1;0;0;1;1;1;1;62
0;10;1;0;1;1;0;0;0;34
1;19;0;0;1;0;0;1;1;34
1;10;1;1;0;1;1;1;0;70
0;14;0;0;0;0;0;1;0;43
0;13;0;0;1;1;0;1;1;43
1;31;0;0;0;1;0;1;1;36
0;19;0;0;0;1;0;1;1;68
0;10;1;0;0;1;1;1;1;47
0;16;0;0;1;1;0;1;0;33
0;12;0;0;0;1;0;1;0;76
0;16;1;0;1;1;1;1;0;67
0;18;0;0;1;1;0;1;0;33
0;10;1;0;1;1;0;1;0;50
0;13;1;0;1;1;0;1;1;64
0;19;0;0;0;0;0;1;0;57
0;14;0;0;1;1;0;1;1;74
0;13;1;0;1;1;1;1;1;66
0;11;1;0;1;1;0;1;0;73
0;11;0;0;1;1;0;1;1;47
0;23;1;0;0;0;0;1;1;66
0;14;0;0;1;1;0;1;1;47
0;12;1;0;0;1;0;1;1;55
0;10;1;0;1;1;2;1;0;37
0;11;0;0;0;1;1;1;1;60
0;18;0;0;1;1;0;0;0;41
0;14;1;0;1;0;0;1;1;79
1;19;1;0;0;0;0;1;1;49
0;21;1;0;1;1;0;1;1;44
1;30;0;0;0;0;0;1;1;59
0;11;0;0;0;1;2;1;1;49
0;19;1;0;0;0;2;1;0;37
1;18;1;0;0;0;0;1;0;59
0;22;0;0;0;1;1;1;0;76
0;16;0;0;1;1;0;1;0;53
0;16;0;0;0;1;1;1;0;71
0;10;1;0;1;1;0;1;1;68
1;12;1;0;1;1;2;1;1;60
0;10;1;0;0;1;0;1;1;71
0;28;0;0;1;0;2;1;0;63
0;19;0;0;0;1;0;1;0;75
0;26;0;0;1;1;0;0;0;32
1;26;1;0;0;1;1;1;1;44
0;13;0;0;1;1;0;1;1;67
0;16;1;0;1;1;0;1;1;50
0;20;1;0;1;0;0;1;0;50
0;20;1;0;1;1;0;1;0;33
0;12;0;0;0;0;0;1;1;50
0;10;1;0;1;1;2;1;0;55
0;19;1;0;1;1;0;0;0;69
0;15;0;0;1;0;0;1;0;53
0;23;1;0;1;1;0;0;1;35
0;14;1;0;0;1;1;1;1;49
0;22;0;0;0;1;0;1;0;58
1;25;0;0;1;1;0;1;1;47
0;10;0;0;0;1;0;1;1;58
1;17;1;0;0;0;0;1;1;69
0;17;0;0;0;0;1;1;1;74
0;10;1;0;1;1;0;1;0;33
0;10;0;0;0;1;2;1;0;76
0;14;0;0;0;1;0;1;1;35
0;15;1;1;1;1;0;1;1;50
0;37;1;0;1;1;1;1;1;60
0;14;0;0;0;1;2;1;0;78
0;11;0;0;1;0;0;1;0;68
0;11;1;0;1;1;1;1;1;60
0;14;0;0;0;1;2;1;0;44
1;14;0;0;0;0;1;1;1;44
0;11;0;0;0;1;1;1;0;50
0;12;0;0;1;1;2;1;1;66
0;22;0;0;0;1;1;1;1;47
0;13;0;0;1;1;2;1;1;32
0;11;1;0;1;0;0;1;1;69
0;14;0;0;0;1;1;1;0;76
0;13;0;1;1;0;2;1;0;52
0;23;0;0;1;1;0;1;0;49
0;15;1;0;0;0;0;1;1;55
0;18;0;0;1;1;1;1;1;33
0;10;0;0;1;1;0;1;0;33
0;22;0;0;1;1;0;1;1;34
0;16;0;0;1;1;0;1;1;41
1;46;0;0;1;0;0;1;0;49
0;10;1;0;1;1;0;1;1;31
1;10;1;0;0;1;0;1;1;35
0;12;0;0;0;1;0;1;0;39
0;21;1;0;0;1;2;1;0;33
1;21;0;0;1;1;0;1;1;54
0;10;0;0;1;1;0;1;0;48
0;15;1;0;1;0;1;1;1;55
0;12;0;0;1;1;1;1;1;62
0;15;0;0;0;1;0;1;0;56
0;8;1;0;0;0;2;1;1;56
0;9;0;0;0;0;0;1;0;73
0;17;0;0;1;1;0;1;1;36
0;12;0;0;1;1;0;1;1;30
0;12;1;0;1;1;1;1;1;50
0;11;1;0;0;1;0;1;0;57
0;13;1;0;1;1;0;0;0;47
1;10;1;0;1;1;2;1;1;55
0;19;0;0;0;0;0;1;0;35
1;12;0;0;0;0;2;1;1;42
0;12;1;0;1;1;0;1;1;42
0;10;0;0;0;0;1;1;0;56
1;14;0;0;0;0;0;1;0;52
0;14;0;0;1;1;0;1;1;36
1;34;1;0;1;0;0;1;1;67
0;15;0;0;1;1;0;1;0;33
0;16;0;0;1;0;0;1;0;63
0;10;0;0;0;0;1;1;1;35
0;27;0;0;0;1;0;1;0;43
1;18;0;0;1;1;2;1;0;35
0;16;0;0;0;1;0;1;0;60
0;13;0;0;1;1;0;1;0;31
0;10;1;0;1;1;1;1;1;71
0;11;0;0;1;1;1;1;1;31
1;39;0;0;1;0;0;1;1;41
0;11;0;0;0;1;0;1;1;46
0;10;0;0;1;1;2;1;0;50
0;13;1;0;1;1;0;1;1;41
0;42;0;0;1;0;0;1;0;35
0;11;1;0;1;0;0;1;1;34
0;10;1;0;0;1;0;1;1;72
0;12;0;0;0;1;0;1;1;74
0;10;0;0;1;1;2;1;1;34
0;14;0;0;0;1;0;1;0;52
0;15;0;0;1;1;2;1;0;36
0;10;1;0;1;1;0;1;1;71
0;20;0;0;1;1;0;1;1;70
0;22;0;0;1;1;1;1;1;32
0;27;0;0;1;1;0;1;0;53
0;16;0;0;0;1;0;1;1;57
0;12;0;0;1;0;1;1;1;50
1;10;0;0;1;0;0;1;0;67
0;10;0;0;0;0;1;1;1;72
0;18;1;0;0;1;1;0;0;48
0;16;0;0;1;0;0;1;1;43
0;14;1;0;1;1;0;1;1;60
0;13;0;0;1;1;1;1;1;71
0;25;1;0;0;0;0;1;1;50
1;12;0;0;0;1;0;0;1;70
0;21;1;0;0;1;1;1;1;50
0;15;1;0;1;1;1;1;0;46
0;9;1;0;1;0;1;1;1;31
0;15;0;0;1;1;0;1;1;46
0;13;1;0;0;1;1;1;0;58
0;17;1;0;0;1;1;1;0;70
0;23;0;0;1;1;0;1;0;33
0;15;0;0;1;1;0;0;1;41
0;10;0;0;1;0;1;1;1;49
0;11;0;0;1;1;0;1;1;49
0;18;0;0;1;1;0;1;0;69
1;16;1;0;0;0;2;1;1;50
0;19;0;0;0;0;0;1;0;60
0;14;0;0;1;1;0;1;1;75
0;23;0;0;1;0;0;0;0;32
0;8;1;0;0;0;0;1;1;70
1;15;0;1;0;0;2;1;1;32
0;12;1;0;0;0;0;1;0;76
1;44;1;0;0;0;0;1;1;61
0;12;1;0;1;1;0;1;0;46
0;13;0;0;1;1;0;1;0;61
0;12;0;0;0;0;1;1;0;63
0;13;1;0;0;1;1;1;1;79
1;12;1;0;0;1;0;1;1;74
1;11;1;0;0;0;0;1;1;42
0;11;0;0;1;1;0;1;0;32
1;25;1;0;0;0;0;1;1;39
0;14;1;0;1;1;0;1;1;42
0;10;0;0;1;1;1;1;1;66
1;15;1;0;0;1;0;1;1;74
0;13;1;0;1;1;0;1;1;33
1;15;0;0;0;0;1;1;0;71
0;14;0;0;1;1;0;1;0;53
1;27;0;0;0;0;1;1;1;63
0;15;0;0;1;0;0;0;0;31
0;17;0;0;0;0;0;1;0;46
0;10;0;0;0;1;0;0;0;33
0;12;0;0;1;1;0;1;0;37
0;18;1;1;0;0;2;1;0;60
0;10;0;0;1;1;0;1;1;63
0;10;0;0;1;1;0;0;0;35
0;10;0;0;1;1;0;1;0;52
1;11;1;0;0;1;0;1;1;59
0;13;1;0;1;1;0;1;1;54
0;33;1;0;1;1;0;1;1;40
0;12;1;0;1;1;0;1;1;38
0;13;0;0;1;0;0;1;1;36
0;15;0;0;1;1;1;1;0;63
0;8;1;0;1;1;0;1;0;69
0;28;0;0;0;0;0;1;0;66
0;14;1;0;1;1;0;1;1;71
0;14;1;0;0;1;2;1;0;77
0;21;1;0;1;0;1;1;1;36
1;26;0;0;0;0;0;1;0;60
0;12;1;0;1;1;0;1;1;37
0;18;1;1;0;1;2;0;0;74
0;11;1;0;1;1;0;1;1;66
0;12;0;0;0;1;0;1;1;47
1;14;1;0;0;1;1;1;1;71
0;15;1;0;1;1;2;1;1;58
0;25;0;0;1;1;0;1;1;62
0;8;1;0;0;0;0;1;1;73
0;16;1;0;1;1;0;1;1;40
0;10;1;0;1;1;0;1;0;58
0;15;1;0;0;1;2;1;1;65
0;11;1;0;1;0;0;1;1;75
0;8;1;0;0;1;1;1;1;42
1;10;1;0;0;0;0;1;1;69
0;13;0;0;1;1;0;0;0;40
0;10;0;1;1;1;0;1;0;43
0;10;0;0;1;0;1;1;0;72
0;11;0;0;1;1;0;1;0;73
0;14;1;0;1;1;0;1;0;39
0;8;0;0;1;1;0;1;0;58
0;16;0;0;0;0;0;1;1;47
0;20;1;0;1;0;0;1;1;58
0;10;0;0;1;1;0;1;1;46
0;15;0;0;1;0;0;1;1;52
0;15;0;0;0;0;1;1;0;79
0;17;0;0;1;0;0;1;0;49
0;10;0;0;1;0;0;0;0;74
0;12;0;0;1;1;0;1;0;31
0;13;1;0;1;1;1;0;1;41
0;11;0;0;1;1;1;1;0;47
0;19;0;0;1;0;0;1;1;52
0;13;0;0;1;0;0;0;0;43
0;17;1;0;1;1;0;1;0;62
0;16;0;0;1;1;0;1;1;43
0;14;0;0;0;1;0;1;0;58
0;12;0;0;0;0;0;1;1;71
0;19;1;0;1;0;0;1;1;33
0;13;1;0;1;0;0;1;0;68
0;12;0;0;0;1;2;1;1;65
1;13;1;0;0;1;2;1;1;69
0;11;1;0;1;0;1;0;1;40
0;17;0;1;1;1;0;1;1;62
0;9;1;0;0;0;0;1;1;79
0;25;1;1;0;1;0;1;0;72
1;20;0;0;0;1;0;1;1;64
0;13;0;0;1;1;2;1;1;40
0;39;1;0;1;0;0;1;1;55
0;11;0;0;1;0;1;1;0;78
0;12;1;0;1;1;0;1;1;33
0;17;0;0;1;1;1;1;0;73
1;12;1;0;1;1;2;1;1;31
1;33;1;0;1;1;1;1;1;56
0;14;1;0;0;0;1;1;1;74
0;14;0;0;0;1;0;1;0;36
0;11;0;0;0;1;0;1;0;68
0;12;0;0;1;0;0;1;0;66
1;26;0;0;1;1;0;1;0;58
1;30;1;0;0;0;0;1;1;53
0;11;1;0;1;1;0;1;1;44
0;27;1;0;0;1;1;1;1;50
0;13;0;0;0;1;0;1;0;61
0;11;0;0;1;1;0;1;1;31
0;10;1;0;1;1;0;1;0;72
1;47;1;0;0;1;0;1;1;47
0;10;0;0;0;0;1;1;0;60
0;13;0;0;0;1;2;1;0;73
0;10;1;0;0;1;0;1;1;69
0;19;0;0;1;0;2;1;1;48
0;18;0;0;1;1;0;1;1;39
0;14;0;1;0;0;0;1;0;63
0;13;1;0;0;1;2;1;1;65
0;11;1;0;0;1;0;1;1;77
0;11;0;0;1;1;0;0;1;69
0;10;1;0;1;0;0;1;0;34
0;11;0;0;0;0;0;1;0;66
0;30;0;0;0;0;0;1;0;70
0;16;0;0;1;1;0;1;1;42
1;17;0;0;1;0;0;1;1;36
0;13;1;0;0;1;0;1;0;66
0;10;1;0;1;1;0;1;1;58
0;15;0;0;0;1;2;1;1;62
1;10;1;0;0;0;1;1;0;57
0;11;1;0;1;1;0;1;0;49
0;16;0;0;0;0;0;1;0;48
0;9;1;0;0;1;2;1;1;63
0;13;1;0;0;0;1;1;1;49
0;34;0;0;1;1;0;1;0;38
0;20;0;0;1;1;0;1;1;40
0;11;1;0;1;1;0;0;0;34
1;19;1;0;0;1;0;1;0;62
0;12;1;0;1;1;0;1;1;70
1;20;0;0;1;0;0;1;0;35
0;21;1;0;0;0;2;1;1;56
0;10;0;0;1;1;0;1;1;69
0;12;1;0;1;1;0;1;1;48
0;11;0;0;1;0;0;1;1;33
0;17;1;0;0;0;0;1;1;58
0;15;1;0;1;0;1;1;0;37
0;10;1;0;0;1;0;1;1;61
0;11;0;0;1;1;0;0;0;58
0;16;1;0;1;1;0;1;1;44
0;16;0;0;1;0;0;1;0;44
0;10;0;0;0;1;0;1;0;77
0;11;1;0;1;1;0;1;0;32
0;15;0;0;1;1;1;1;1;67
0;13;0;0;1;1;0;1;1;54
1;13;1;0;0;0;1;1;0;77
0;17;1;0;0;1;0;1;1;57
0;11;0;0;1;1;0;1;0;38
0;11;0;0;1;1;0;1;0;50
0;10;0;0;1;1;0;0;0;35
0;11;0;0;0;1;1;1;0;51
0;9;1;0;0;0;1;1;1;37
0;12;0;0;0;0;2;1;1;76
0;10;0;0;0;0;1;1;0;77
0;10;1;0;1;1;0;1;0;58
0;10;1;0;1;0;0;0;1;33
1;14;1;0;0;0;1;1;1;69
0;10;1;0;0;0;0;1;1;65
0;16;1;0;0;0;0;1;1;44
1;16;0;0;1;0;0;1;1;66
0;11;1;0;1;1;0;1;1;57
0;13;0;0;1;1;0;1;1;42
0;24;0;0;1;0;0;1;1;48
0;10;0;0;0;0;2;1;1;58
0;25;1;0;0;1;0;1;1;56
0;16;0;0;0;1;0;1;1;45
0;10;0;0;0;1;2;1;1;35
0;10;1;0;0;1;0;1;0;68
0;11;1;0;0;1;0;1;0;65
0;10;0;0;1;1;0;0;0;35
0;18;1;0;0;0;0;1;1;64
0;11;0;0;0;1;0;1;1;53
0;11;0;0;1;1;0;1;1;65
1;15;0;1;0;1;0;1;0;33
0;11;0;0;1;1;2;1;0;52
0;13;0;0;1;0;0;1;0;45
0;12;1;0;1;1;1;1;0;69
0;10;0;0;0;1;0;1;1;45
0;15;1;0;0;1;0;1;0;42
0;19;1;0;1;1;0;1;0;68
1;11;1;0;1;1;0;1;1;45
0;14;1;0;0;1;0;1;0;73
0;10;1;0;1;1;1;1;0;77
0;11;1;0;1;1;0;1;1;58
0;11;1;0;0;0;0;0;0;62
0;9;1;0;0;1;1;0;0;38
0;11;1;0;1;1;0;1;1;38
0;11;0;0;0;1;0;1;0;34
1;19;0;0;0;0;0;1;1;52
0;12;0;0;1;1;2;1;1;48
0;29;0;0;0;1;0;1;1;30
0;21;0;0;1;1;0;1;1;40
0;18;1;0;0;1;2;1;1;49
0;10;0;0;1;1;0;0;0;42
0;11;0;0;1;0;0;1;1;59
0;12;1;0;0;1;0;1;1;68
0;11;1;0;1;1;1;1;1;48
0;14;0;0;1;0;0;1;0;70
0;19;0;0;1;1;0;1;0;40
0;21;1;0;0;1;1;1;1;66
0;8;0;0;0;1;1;1;0;60
0;8;1;0;1;0;0;1;1;39
0;13;1;0;1;1;0;1;0;31
0;11;1;0;1;1;0;1;0;58
0;13;1;0;1;0;0;1;0;54
0;10;0;0;1;1;2;1;1;70
0;15;0;0;1;1;0;1;0;58
0;15;1;0;0;1;2;1;0;39
